x,y,z
301852,95451,10
301899,95457,10
301950,95467,10
301993,95474,10
302037,95480,10
302087,95476,10
302133,95485,10
302176,95493,10
302226,95501,10
302262,95507,10
302305,95514,10
302353,95534,10
302400,95541,10
302440,95548,10
302486,95555,10
302532,95563,10
302199,95476,6
274116,38871,5
303309,114660,6
303282,114639,6
303327,114316,6
303997,114521,8
304015,114538,8
304028,114560,8
304038,114582,8
304069,114610,8
304107,114665,8
304145,114718,8
304150,114750,8
304099,114775,8
304120,114776,8
304140,114770,8
304157,114762,8
304192,114812,8
304137,114686,8
304097,114630,8
304063,114580,8
304062,114567,8
304102,114555,8
304142,114537,8
304045,114548,8
296962,91219,5
296981,91194,5
296997,91178,5
297011,91161,5
297028,91143,5
297043,91129,5
297062,91111,5
296926,91217,6
325115,89964,6
324832,89953,6
324220,90954,6
324219,91002,6
324211,91039,6
324360,90263,6
323709,90579,8
323691,90601,8
323692,90622,8
259138,137125,6
259119,137080,6
259065,137062,6
259023,137026,8
258991,137002,8
258926,136947,6
312677,87265,6
312381,89611,6
312406,89616,6
313462,90478,8
312751,88564,8
312671,88577,8
312544,88605,8
254496,91472,8
254519,91503,8
271616,125744,10
271590,125742,10
271542,125738,10
271492,125733,10
271636,126850,8
271368,125192,6
271298,125876,8
271856,125945,6
272155,125825,8
272224,125801,8
272252,125780,8
272288,125770,8
272322,125766,8
271038,125573,5
271004,125573,5
270975,125572,5
270946,125566,5
270913,125556,5
270962,125563,5
270976,125543,5
270911,125523,5
271633,125803,6
271209,126157,5
271168,126146,5
271079,125725,6
271093,125689,6
270928,125891,6
270932,125855,6
270936,125819,6
270939,125794,6
270963,125761,6
270987,125750,6
270999,125719,6
271032,125689,6
271038,125659,6
271355,125822,5
271346,125802,6
271356,125777,8
271351,125758,6
271364,125733,8
271357,125704,8
271368,125670,8
271363,125643,6
271370,125616,8
271372,125569,8
271253,125323,5
271177,125299,5
271004,125243,6
271706,126067,6
271696,126122,6
271708,126162,6
271740,126207,6
271775,126257,6
271829,126306,6
271868,126343,6
271901,126374,6
271935,126417,6
271953,126500,6
271958,126534,6
271956,126580,6
271940,126635,6
271926,126683,6
271927,126724,6
271933,126764,6
271942,126797,6
271939,126816,6
271967,126813,6
271967,126837,6
271993,126862,6
272033,126888,6
272051,126915,6
270905,125909,8
270885,125899,8
270852,125888,8
270817,125880,8
270786,125881,8
270766,125879,8
270764,125863,8
270762,125851,8
270745,125858,8
270744,125873,8
270719,125871,8
270699,125865,8
270680,125860,8
254802,132253,8
254779,132238,8
254784,132225,8
254758,132216,8
254756,132197,8
254698,132041,8
264361,94016,8
264390,93993,8
264480,93915,8
254798,132235,8
255715,132841,8
255725,132837,8
255722,132834,8
255624,132796,8
255578,132745,8
255548,132710,8
255517,132676,8
255509,132647,8
255467,132621,8
294003,98279,8
294001,98280,8
293769,97636,5
261789,130099,8
261852,130086,8
261893,130064,8
261912,130044,8
262256,129890,8
248822,118704,8
248792,118662,8
248747,118657,8
248700,118663,8
248665,118662,8
248622,118659,8
248589,118653,8
248584,118630,8
247716,74218,6
247244,74696,8
247210,74718,8
247175,74741,8
247149,74761,8
247473,74598,8
247518,74555,8
247478,74575,8
247461,74587,8
247452,74603,8
247433,74603,8
247269,74688,8
248427,74658,6
248472,74647,6
248498,74641,6
248549,74638,6
248575,74643,6
248610,74654,6
248700,74680,6
293070,73351,8
293153,73915,8
293246,74351,8
293727,73263,8
294071,73500,8
294226,74261,6
239776,85160,8
239744,85150,8
239707,85140,8
239678,85133,8
239546,85108,8
239506,85104,8
239406,85124,8
296560,112229,5
296424,113954,6
296409,113967,6
296346,113974,6
296323,113989,6
296965,112361,8
295844,113942,8
296923,88023,5
296939,87976,5
296920,88216,6
296955,88210,6
296987,88201,6
296697,88465,8
296713,88443,6
296761,88390,6
296817,88348,6
296863,88273,6
296498,88225,5
296564,88342,6
296580,88368,5
296653,88435,6
296679,88463,8
296689,88445,8
306685,112650,5
306724,112661,6
305552,114012,8
306184,112445,5
332541,93290,8
332502,93306,8
332485,93334,8
332468,93353,6
250804,141993,8
250802,141831,10
251183,144397,8
251214,144389,8
251242,144384,8
251272,144378,8
251314,144372,8
251352,144370,8
251386,144370,8
251112,144431,10
